z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0,0.19650462587551806,-1.2688364674614065e-19,300.0,1.2213452936829585,0.00012530265511331945,-1.0705003684318105e-13,7.92114786819366e-14,4.5178072854278457e-10,3.9966824914118034e-19,6.777242355119438e-07,1.1586235043667734e-13,5.187992811059017e-13,-8.99855826803945e-15,-5.817231771142554e-15,-1.1390351148190174e-17,2.9766809697743636e-19,3.958567472558689e-13,7.967650676688755e-08,1.7989511602005727e-07,2.9281025211983757e-08,4.91286117811795e-16,1.749758210362146e-11,4.8619909627134304e-15,3.552094544812142e-15,2.754449166343397e-12,1.1753294046089155e-14,2.827707722284552e-08,2.0036648998516752e-16,2.4943425011527298e-08,2.1410581727618872e-11,0.9998716797943027,1.1880098743796375e-17,2.3169459089641796e-11,3.475418380012694e-13,-3.034882621137011e-15,4.0784471048387577e-16,-1.4029161004993468e-15,8.563902588192781e-11,-7.73145406033514e-30,2.506566849058315e-10,1.53792984930787e-11,1.361732000335549e-13,1.6456479901272784e-15,-4.470530440255978e-18,3.816215981518145e-11,1.9808485271027962e-16,6.323753144095984e-17,1.3601220364739915e-12,1.995930433819196e-15,5.849571949336667e-12,-7.776047169137653e-19,1.9785248665916377e-06,1.8279186759799692e-08,4.550097416908647e-13,3.336495804969146e-11,3.7889806170226925e-14,1.3483868379175207e-13
0.001,0.18556185160168387,11.029015477280648,300.0091560554898,1.2208095094446965,0.0005565758683813573,-2.1946909814110738e-14,1.0849786588910406e-15,6.5075850324851995e-09,2.9150314353824638e-18,9.62021296280197e-06,1.6805228476211447e-12,8.012338224907099e-12,-8.023595964886141e-15,-2.225840810668436e-18,-1.4084765028922667e-16,1.439607019165725e-26,5.312871974935067e-12,1.0746312349143238e-06,2.5879971804873065e-06,5.674697958110999e-07,9.853073803857329e-15,3.5378581304725006e-10,4.810842110669191e-15,7.548863376457482e-14,5.6634942491312286e-11,2.9108012302439575e-16,5.102174867580135e-07,2.3860462406966554e-15,4.7440024906766905e-07,4.320438511143101e-10,0.9994000579811779,1.268990588735779e-16,5.341003137131557e-10,8.00904706523849e-12,-3.1877029341537727e-15,3.5671453809123873e-16,4.934056755222589e-15,1.2477333443159172e-09,-1.0905758895148e-28,3.636178496540577e-09,2.708950419137074e-10,2.6655714486259803e-12,1.2788317346917075e-14,-6.438330527841487e-17,7.845771749743702e-10,4.110354827985368e-15,3.112147330383093e-17,2.6394924020451386e-11,3.8743756626572735e-14,1.1354374713735374e-10,-1.3999067175834548e-17,2.823729463913416e-05,2.7905833278081635e-07,1.1723491864266186e-11,8.635455615752496e-10,8.774343397859959e-13,3.1373734032067744e-12
0.002,0.15287822239498333,22.06736676148989,300.1819425967714,1.2179292263589352,0.002386639492356193,1.5037984394416346e-14,-4.0217140790274916e-18,8.908612243296926e-08,3.948134712258583e-17,0.00012978923572891265,2.323610313590965e-11,1.1158503425832488e-10,-3.6083919557661945e-15,-1.6577118457963625e-22,4.92769878748963e-19,3.352269205974145e-27,6.793869340681813e-11,1.3782469750033201e-05,3.5385101645837385e-05,1.0430612473527358e-05,1.88127267045402e-13,6.782669057582713e-09,4.363353020927302e-15,1.4474943539284793e-12,1.1040351244036786e-09,1.4293530325484376e-18,8.735507262589821e-06,4.413591500024083e-14,8.558485551347168e-06,8.265404358713584e-09,0.9970193502031122,1.704719924957449e-15,1.1664764855344172e-08,1.749155446732343e-10,-3.4236773879417125e-15,1.5555549838122991e-16,6.140244387927428e-14,1.7274967795399056e-08,1.0163774012113402e-27,5.0127624226273294e-08,4.528154696986442e-09,4.929732620544428e-11,1.6712596579266082e-13,-1.479787811404103e-16,1.5293180105265262e-08,8.102845162730085e-14,2.2722099568954895e-17,4.859161292017335e-10,7.13261006558508e-13,2.0903019129458806e-09,-1.3649598563797472e-16,0.0003830532140886091,4.047003699586755e-06,2.8606002046971723e-10,2.116703123165042e-08,1.925856145225009e-11,6.915148063665654e-11
0.0025,0.12892438919030189,27.632505858651534,301.20787306680336,1.210283260173082,0.005120806428367353,7.697299978742103e-14,4.584415336842315e-16,4.5062264273977364e-07,1.0792316189375703e-15,0.0006483846013295705,1.2308050813923203e-10,5.709222072824179e-10,-9.341822978262284e-16,4.6039154028022224e-26,5.679511568169536e-16,2.238060794091561e-25,3.287986846160842e-10,6.60482312063125e-05,0.00017881457739963436,6.780300353288893e-05,1.2900230394283914e-12,4.573269359149484e-08,3.97111159790731e-15,9.991945332917721e-12,7.553085758007216e-09,5.621930567534807e-21,5.340443262051925e-05,2.817223104713048e-13,5.4737754347224145e-05,5.5646832944988894e-08,0.9918638372145644,8.967965212960946e-15,8.821655279678835e-08,1.3228242498782019e-09,-2.4827930176216204e-15,9.336244059798141e-17,2.2750694602245816e-13,8.818641010035097e-08,2.729322269258438e-26,2.5505798019085223e-07,2.7109740166486618e-08,3.2211114836612813e-10,8.515467058795287e-13,-9.774021549770286e-17,1.0462267831785318e-07,5.579579465409154e-13,1.2289517172042399e-17,3.1629206349792164e-09,4.642756407350231e-12,1.3606184594612049e-08,-2.285254973433744e-16,0.001923359317369722,2.1481707122008324e-05,2.3872891705593567e-09,1.7746788448505475e-07,1.4633972723126278e-10,5.272369451803128e-10
0.003,0.10187242645151885,33.468970783602906,308.21243930714263,1.174581215505907,0.01076517065062554,2.6808159505998637e-13,9.89373786418795e-15,2.333224355916487e-06,3.171159772550973e-14,0.0033071303791935083,7.263862498420547e-10,2.9911062476014017e-09,-5.865541464244469e-17,6.761719502532681e-25,4.999911501516445e-15,2.070520578452637e-23,1.6885981638121144e-09,0.00032303134531727395,0.000925159075551649,0.00045605103854103594,9.408220065634846e-12,3.1929772684898543e-07,7.898803340816489e-15,7.201259869854368e-11,5.354021914708398e-08,8.747891022400337e-24,0.00033698402028632896,1.9757039993285802e-12,0.0003619183777399892,3.8834626841791353e-07,0.9735072923671665,5.842543150279136e-14,6.941600655157287e-07,1.0409053266819193e-08,-6.228394783967203e-16,4.011355036610029e-16,8.344920401509174e-13,4.602650085218299e-07,6.502033560961142e-25,1.3291303071446155e-06,1.6725389349838143e-07,2.1781464469122895e-09,4.449752532420609e-12,-1.4556741729447605e-17,7.415704126165231e-07,3.967584877809618e-12,2.3351822480325122e-18,2.1303315442063723e-08,3.1270530904413e-11,9.16422395706422e-08,-9.726082374515368e-17,0.009892108953803396,0.00011695464912416914,2.0788052635439535e-08,1.5551606102177355e-06,1.1587172156143452e-09,4.183868210622332e-09
0.0032500000000000003,0.08930824861329237,36.8830106884132,322.57906989733067,1.1146914246225446,0.01516301856299194,6.822486391234134e-13,4.913055185901698e-14,5.424442941492735e-06,2.2152854977420093e-13,0.007588374094935462,2.48874485449991e-09,7.005122291833831e-09,-3.835222597464078e-18,5.418191876265606e-24,2.5483768979885494e-14,4.1215891455870527e-22,4.6322868706932905e-09,0.0007241183113290561,0.002150612028581182,0.0012576833234054213,2.996797453618286e-11,9.018022196373503e-07,3.438022255303193e-14,2.1456912570301757e-10,1.5281925319406984e-07,2.698027961378003e-23,0.0008902395137797859,8.795773478468675e-12,0.0009860446666068114,1.1004128748507349e-06,0.9480010714913903,2.6773665321614417e-13,2.133023212932099e-06,3.198497187306545e-08,-1.497839416454593e-16,1.9331324318181586e-15,1.5836647106950485e-12,1.0721280472821997e-06,6.605497544808873e-24,3.104307413126853e-06,4.340951304088583e-07,6.028217105225317e-09,1.036386138877683e-11,-1.5623177211599432e-18,2.1164739017122777e-06,1.1226870676340474e-11,4.699913469685448e-19,5.879904572068413e-08,8.630977680408185e-11,2.5294166986517613e-07,-1.416908757251159e-17,0.022936191977510224,0.0002805873994671739,6.808569910902187e-08,5.170256653420375e-06,3.605252760842985e-09,1.2933245381712275e-08
0.0035,0.07941440602791226,41.321107569567936,357.76921775357476,0.9947424472548219,0.020496072685430834,2.522401453359175e-12,2.039780284247746e-13,1.1828320388396124e-05,1.3264384411132433e-12,0.01621032673765272,9.389848149557092e-09,1.5383946169952092e-08,-1.588482729663539e-19,6.619301673071542e-23,1.2819926159661793e-13,9.895880479052425e-21,1.3511518880455877e-08,0.001520861396085286,0.004691980067191538,0.0032456798101516172,9.616562565975454e-11,2.374912619439236e-06,1.707320550360063e-13,5.930843858332932e-10,4.068815582342097e-07,1.8767462848388546e-21,0.0022008322983999686,4.847444681712268e-11,0.0025109637384364745,2.92483430001373e-06,0.898418921062495,1.3323447213084679e-12,6.125774236885485e-06,9.185638892348247e-08,-2.0814858012441758e-17,1.4686361319430184e-14,2.8478897431294436e-12,2.327205601014438e-06,1.6541832955399637e-22,6.806284146587682e-06,1.050699729896174e-06,1.5609787039267435e-08,2.2555719564683584e-11,-7.853259317762645e-20,5.632535041759774e-06,2.933657610950247e-11,1.8264523850693797e-19,1.5183856866918267e-07,2.228825231030883e-10,6.531850999556301e-07,5.67775433646681e-17,0.050016955393781655,0.0006305863045213187,2.070821105528923e-07,1.613627122270013e-05,1.0541424925788642e-08,3.73672695556935e-08
0.0036249999999999998,0.07553785109978205,44.200420991273674,387.94669228339063,0.9111306766733571,0.02344686563792817,6.344158822461558e-12,5.042968802153981e-13,1.6886282209661087e-05,3.377542169654458e-12,0.02278892986879064,2.1293920287126298e-08,2.202940029873087e-08,-1.3609732910572658e-20,3.8519146572026775e-22,3.5206850158561554e-13,6.790773877786548e-20,2.5289110607974856e-08,0.0021298782964978445,0.0067015426475487356,0.00502941710822754,1.9432716565567428e-10,3.705870625451391e-06,4.2163814390207703e-13,9.698040686475207e-10,6.386987962560498e-07,2.5100897355013284e-20,0.0033376712783346214,1.6076807456975236e-10,0.0038614552369784787,4.622938708695875e-06,0.8601805628111767,3.765142366648452e-12,1.0011034676667255e-05,1.5011526159002913e-07,5.485366053842257e-18,5.665881161710482e-14,3.758077042609182e-12,3.2996168001196693e-06,1.318818051063174e-21,9.751378310846176e-06,1.5676552687896827e-06,2.422636221208821e-08,3.2018904936492973e-11,3.523215025985744e-21,8.838479948927654e-06,4.4615793846705375e-11,5.708232681799798e-19,2.3531858344124806e-07,3.454285557529427e-10,1.0123207712785888e-06,1.7365602834316416e-16,0.07152201632187616,0.000912803866171269,3.4126471869880773e-07,2.7622603244734412e-05,1.7493063183944137e-08,6.125114560409545e-08
0.00375,0.07187754492450084,47.64716018494412,427.94883125617497,0.8195809994757345,0.02643078890910052,1.7512750980503412e-11,1.085195770085009e-12,2.326529333281649e-05,7.706317424023214e-12,0.030805448818307195,4.637487746693952e-08,3.0422056532833544e-08,-1.225930135125543e-21,2.2417880380187257e-21,8.532655876083899e-13,4.969129115562192e-19,4.65017400063251e-08,0.0028800683480136027,0.009238300103608127,0.007471029453974282,3.9685999611059543e-10,5.5237960299002066e-06,9.526586167354217e-13,1.5058466578315997e-09,9.577069125756347e-07,3.4103013879773034e-19,0.004858806862735996,5.020387525268866e-10,0.005690632571325699,7.022770126765155e-06,0.8123971132752034,9.563851457396089e-12,1.5613667501472798e-05,2.3412467970034483e-07,4.855881355274088e-17,2.1012615676467559e-13,4.8853454879499545e-12,4.498745155831115e-06,1.1989844727894622e-20,1.3490162386987754e-05,2.2356497012187264e-06,3.6034245687768015e-08,4.3742071848120466e-11,8.363375769220507e-20,1.324723853302929e-05,6.345399608716743e-11,2.1736038399117234e-18,3.49536173076785e-07,5.131081497609847e-10,1.5037240964011216e-06,5.584042364235463e-16,0.09882096436649507,0.001272945010085428,5.280892294489617e-07,4.514592463013374e-05,2.7668475547798974e-08,9.578344622890733e-08
0.0038125,0.0699024854074983,49.57360475352778,451.4923357548241,0.7735363622940805,0.027950565883663084,3.070861352416208e-11,1.6413674458179384e-12,2.700688490641806e-05,1.154299511085024e-11,0.035367085876783264,6.892129429031924e-08,3.533585143357569e-08,-2.5001068526977154e-22,5.853403976373013e-21,1.351710374089578e-12,1.4443217576748779e-18,6.338759641517519e-08,0.0033124627257681036,0.010725850737754401,0.00897881422853965,5.769484610141865e-10,6.638196858849176e-06,1.4308512416234639e-12,1.850328210309218e-09,1.1543585958800983e-06,1.2591830539743604e-18,0.00578405785339443,9.314112586344487e-10,0.006811084020588112,8.556691737535659e-06,0.7845053098447069,1.530503562035569e-11,1.9188451038607308e-05,2.8772619869121724e-07,1.1950070351724996e-16,4.268402362322053e-13,5.591165758370632e-12,5.18722711354218e-06,3.7708883767686764e-20,1.569705177834347e-05,2.6248647289383173e-06,4.3329024157265886e-08,5.052476238976125e-11,2.584303070295921e-19,1.5967120082574274e-05,7.293709442363278e-11,4.624150158119896e-18,4.2002144928097437e-07,6.165976381497722e-10,1.8070095770651437e-06,1.1079773487287311e-15,0.11491703647248869,0.0014854013422229285,6.366570595101445e-07,5.679163902901812e-05,3.414949981272663e-08,1.1782392249973156e-07
