z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,AR
0.0,0.7270085139922353,0.0,300.0,1.3385590540513201,0.15492957746475447,-1.6004220025374502e-17,2.1880657744279499e-16,0.14084507042254085,-3.8874025656953095e-16,-1.872095338627764e-18,-1.755297142302474e-16,2.3265989084713338e-17,0.7042253521127051
0.006,0.7270085139907311,0.0,299.9999999999963,1.338559054054092,0.15492957746290167,-1.3603953404889726e-20,1.6980988388527048e-16,0.1408450704228491,-1.6630303035467843e-18,-3.443691742127582e-16,-4.927315977495308e-16,2.226414266438692e-17,0.7042253521142499
0.012,0.7270085139090463,0.0,300.0000000000026,1.3385590542045454,0.15492957736171745,4.484788684647456e-21,1.3619551141137056e-16,0.14084507043966793,2.0147046933211603e-19,-2.9427412671114417e-16,-3.9389005328199813e-16,2.505901238690698e-17,0.7042253521986153
0.015,0.7270085122263031,0.0,300.00000000026097,1.338559057303778,0.1549295752770093,7.453874732281025e-22,1.1743168099371757e-16,0.14084507078618883,1.1217437546574702e-19,1.1702854064288768e-16,-3.868890858332281e-16,2.2868537407346167e-17,0.704225353936802
0.0165,0.7270084944776112,0.0,300.00000000655166,1.3385590899912416,0.15492955327898464,9.531792364726371e-21,1.7399179876810524e-16,0.1408450744427016,3.4722081886443427e-19,1.3346944396660358e-14,-3.0186603525027843e-16,5.3638664358482523e-17,0.7042253722783005
0.018,0.7270082391043874,0.0,300.0000002129518,1.3385595602864666,0.15492923643158757,4.280532959618613e-20,2.1242451234917613e-15,0.1408451271089359,2.6666163651953707e-18,5.950926538868138e-13,2.0172735800644285e-15,1.042280369083967e-15,0.7042256364588763
0.018749999999999996,0.7270068311772601,0.0,300.00000277865587,1.3385621530214113,0.15492748536645914,7.178724889777415e-19,2.689179320348741e-14,0.14084541816829252,3.747873043339442e-17,1.0274327466354447e-11,4.179066880017548e-14,1.9727420855674675e-14,0.7042270964548856
0.019124999999999996,0.7270026099344523,0.0,300.00001936815613,1.3385699263292372,0.15492220875549895,4.756347605858574e-18,1.8410975488651968e-13,0.14084629522397288,2.5320285164100096e-16,9.323036617945843e-11,4.069388593176878e-13,2.0045788058098522e-13,0.704231495926506
0.019499999999999997,0.7269844272863814,0.0,300.0001679331106,1.338603409159231,0.1548992485397147,4.0327246813636374e-17,1.5478229013460672e-12,0.14085011140874446,2.1371651716752046e-15,1.0689654520622685e-09,5.1320189682753496e-12,2.5929131316879034e-12,0.7042506389733005
0.019874999999999997,0.7269069732046836,0.0,300.00149866385027,1.3387460529446127,0.15479933519898187,3.4969354586344975e-16,1.337063808636388e-11,0.14086671589644337,1.8670414915268894e-14,1.2546999707066284e-08,6.661492688562766e-11,3.426643753227474e-11,0.7043339362433041
0.020062499999999997,0.726776513838096,0.0,300.00613650007847,1.338986375775707,0.15462379372242444,1.46862111269597e-15,5.328709022134546e-11,0.14089587999734743,8.197559586468555e-14,6.462030513113252e-08,3.7537548078314733e-10,1.9548944822985235e-10,0.7044802610356875
0.020249999999999997,0.7264536183415242,0.0,300.0292527513911,1.3395815441165988,0.1541540076660716,8.637290242544241e-15,2.451512197664075e-10,0.1409738732561621,5.719222927505525e-13,3.9704850531098015e-07,2.554314851722084e-09,1.3437045969147843e-09,0.7048717178855098
0.020437499999999997,0.725720951579685,0.0,300.1446960362335,1.340933922148822,0.1528964709901411,9.125621762159845e-14,1.167796062171349e-09,0.14118227684901807,7.917363554649487e-12,2.520181532149472e-06,1.7947986351712894e-08,9.524771145715223e-09,0.7059187033307465
0.020531249999999997,0.7251413687683222,0.0,300.37587047197013,1.342005595720058,0.15147731497594127,7.258551295552203e-13,2.951619720261282e-09,0.1414165417221727,7.09655153774645e-11,7.86856828598153e-06,6.063299891160569e-08,3.238725756146636e-08,0.7070981786900323
0.020578124999999996,0.724917899805012,0.0,300.66569813452696,1.3424191809809032,0.1503225278445021,2.804786469693712e-12,5.122857003107082e-09,0.14160595919497077,2.802083503936585e-10,1.5933996808426445e-05,1.3039545667351056e-07,6.999290462073475e-08,0.7080553731694873
0.020624999999999998,0.7250177510714921,0.0,301.2478380111974,1.3422341081792215,0.14868589124101414,1.0513282451972239e-11,9.374548950510483e-09,0.14187190397955707,1.0541904939886376e-09,3.4820788161177716e-05,3.0552363237856914e-07,1.6489374694396247e-07,0.7094069031346355
0.020671875,0.7259993709184182,0.0,302.4191383989471,1.340418983914156,0.14636909007253146,4.015416903008821e-11,1.7764627135367886e-08,0.14224232421162195,3.9547813777481685e-09,7.89678608066147e-05,7.446331977740445e-07,4.0366296258437105e-07,0.711308447799317
0.020718749999999998,0.7290831208939751,0.0,304.77919907978594,1.3347491067937847,0.14309760071795033,1.593447944563708e-10,3.464154121066726e-08,0.1427508581531212,1.4890439577394477e-08,0.00018175204457744984,1.8446206739505946e-06,1.0001148105647521e-06,0.7139668946575408
0.020742187499999995,0.7323829188546663,0.0,306.8574212082122,1.328735094241384,0.140962963396636,3.667986391732513e-10,5.008737431629076e-08,0.14306966133882434,3.2058740664829165e-08,0.00028376530978942984,3.017693049370996e-06,1.6249401305431198e-06,0.7156788848086566
0.020765624999999996,0.737857572778195,0.0,309.98754661347897,1.3188761455645934,0.13840277561036213,8.740843262101858e-10,7.437015548300449e-08,0.1434344027231517,6.924280174767941e-08,0.00045183321743769064,5.073426389463825e-06,2.697876874233021e-06,0.7177030726587432
0.020789062499999997,0.7466802516990826,0.0,314.69198259544777,1.3032923611521172,0.13534437573604313,2.263329894672881e-09,1.1390861479412405e-07,0.1438406674451981,1.5220165392565257e-07,0.0007267526158355839,8.68127496628161e-06,4.513773281992162e-06,0.7200747407810763
0.020800781249999997,0.7530042941712026,0.0,317.92398121852665,1.292346760297761,0.1335978778019681,4.109478779408041e-09,1.4434364845858753e-07,0.14405431993597304,2.3526930927282772e-07,0.0009284237607409103,1.151943952777861e-05,5.868876328870813e-06,0.7214016064630248
0.020812499999999998,0.7610849752327088,0.0,321.95330087070647,1.278625527428177,0.1316912536051316,7.888755935828768e-09,1.8586602900319856e-07,0.14426938643415105,3.6810553921341874e-07,0.0011915706393030546,1.5431232289281365e-05,7.655917909953391e-06,0.7228241403108909
0.020824218749999998,0.7713433546774122,0.0,326.96434839359154,1.261620668165049,0.12961527108977489,1.6416110476535397e-08,2.4371554223951587e-07,0.14447969563173033,5.848639219410103e-07,0.00153315711031144,2.082159764588851e-05,9.984458289802834e-06,0.724340225116673
0.0208359375,0.7842804389492148,0.0,333.1765878908687,1.240809696278816,0.12736197035790522,3.713408990254008e-08,3.263176343483374e-07,0.1446768740282059,9.469376231249486e-07,0.0019738005239611743,2.8239120623114157e-05,1.2971366919124817e-05,0.7259448342130379
0.020841796875,0.7919816913545381,0.0,336.83259371588775,1.2287440643626921,0.1261656952988899,5.95431041171366e-08,3.821905367340715e-07,0.14476642640166135,1.225317009520853e-06,0.0022408357170586304,3.2983821278882926e-05,1.4754267389024674e-05,0.7267776374430717
0.02084765625,0.8006388566988927,0.0,340.9136114083237,1.2154579068905258,0.12492200221387734,9.58171539256431e-08,4.5094580462294866e-07,0.14484724586199524,1.595737889069763e-06,0.002544746110193416,3.858551613227812e-05,1.675697388614404e-05,0.727628520823068
0.020853515625,0.8103491657009204,0.0,345.4622007479678,1.200893258793243,0.12363057470900735,1.5514227518554094e-07,5.361879038807708e-07,0.1449171979930051,2.09167114482853e-06,0.0028897313240679222,4.517239260714278e-05,1.898946073539305e-05,0.7284955511192533
0.020859375,0.8212153474074622,0.0,350.52337948372764,1.1850032600939497,0.12229132215420066,2.5217859496892174e-07,6.42677461719878e-07,0.14497392044150317,2.759391490218995e-06,0.003280248276958351,5.28760395630597e-05,2.1456246977243855e-05,0.7293765225932505
0.020865234375,0.8333447894209279,0.0,356.1442701023623,1.1677553871320054,0.12090439989803897,4.100218964041156e-07,7.7671522228411e-07,0.14501483238097995,3.662603548731429e-06,0.003720973305085941,6.182152014391892e-05,2.4154389333202114e-05,0.7302689691657505
0.02087109375,0.8468483134529946,0.0,362.3735784006839,1.1491347893009094,0.11947022592018253,6.64395426031559e-07,9.466402417494428e-07,0.14503715496095818,4.888296088730586e-06,0.004216749637649705,7.211264639751589e-05,2.7071371430217196e-05,0.7311701861316254
0.020876953125,0.8618384895956718,0.0,369.26086955143813,1.129147569680007,0.11798949264880361,1.0693899364661718e-06,1.1634617112866646e-06,0.14503794452952307,6.553745055562146e-06,0.004772518838621344,8.381213816122537e-05,3.0183127469205546e-05,0.7320772621207182
0.0208828125,0.8784274162372757,0.0,376.8556087040181,1.1078238022871287,0.11646317270256829,1.7050277993334615e-06,1.4416366560044724e-06,0.14501413951344935,8.814208470075062e-06,0.005393235313784448,9.691750612017064e-05,3.345254489942276e-05,0.7329871215462528
0.0208857421875,0.887366715206075,0.0,380.9381169669511,1.096663601246841,0.11568314360906652,2.1532663336738363e-06,1.61093529111167e-06,0.14499179270982027,1.0244152475339172e-05,0.005729994165110312,0.0001039658125002982,3.5127908774858234e-05,0.7334419674406276
0.020888671875,0.8967592823134369,0.0,385.22096097939556,1.0851772269161841,0.11489211131372773,2.7078995464552304e-06,1.8036856261666463e-06,0.1449618124946475,1.1908462570130903e-05,0.006085391372230443,0.00011132956385013881,3.682313955595501e-05,0.7338961120682456
0.0208916015625,0.9066183771343758,0.0,389.7100187568851,1.0733763468660957,0.11409028489226741,3.3916057104080285e-06,2.023207268571376e-06,0.14492378427652639,1.3841191246168585e-05,0.006460039319863583,0.00011897594176719585,3.852962479557797e-05,0.7343491299405548
0.02089453125,0.9169565534876851,0.0,394.41086735464035,1.0612745889851998,0.1132778901608936,4.230891616900095e-06,2.2732446259800824e-06,0.14487729910175257,1.6079753667217796e-05,0.0068545276088290575,0.0001268635393080517,4.023804391442612e-05,0.7348005976553921
0.0208974609375,0.9277855123947447,0.0,399.3287184480919,1.0488875306264935,0.11245516886239611,5.2565389284780766e-06,2.5580023750684705e-06,0.14482195641826842,1.8664746075425157e-05,0.007269418298295119,0.00013494221480264356,4.1938494238609813e-05,0.7352500964246201
0.020900390625,0.93911595024212,0.0,404.4683515786107,1.0362326600639566,0.11162237771849116,6.504046754731236e-06,2.882179294140895e-06,0.14475736679917467,2.163959712972131e-05,0.007705241091863509,0.00014315328638157964,4.362064466258526e-05,0.7356972146362477
0.0209033203125,0.9509574044979704,0.0,409.8340462990185,1.0233293079821244,0.11077978736222792,8.014057721709236e-06,3.2509995616478865e-06,0.14468315457894104,2.5050026060122836e-05,0.008162488550035688,0.0001514301044384422,4.527391277950672e-05,0.736141550408234
0.020906249999999998,0.9633181003803548,0.0,415.42951448148256,1.010198547918319,0.1099276811617258,9.832751931190302e-06,3.6702403421540525e-06,0.14459896036191341,2.8943287469787104e-05,0.008641611424402014,0.00015969901997315704,4.688765902984157e-05,0.7365827140932126
0.020909179687499994,0.9762048019327313,0.0,421.25783450623726,0.9968630646692939,0.10906635395843414,1.2012191595271865e-05,4.1462552758561395e-06,0.144504443368805,3.336719320954099e-05,0.009143014217745498,0.0001678807429715625,4.845139035283219e-05,0.7370203306816104
